,MC_frame,rmf_frame_index,Total_Score,CR_rpb2.0,CR_rpb1.0,EV_sum,XLs_sum,XLs_psi_sum,traj,rmf3_file,CR_sum,half,cluster,frame_RMF3
8950,8950.0,7021.0,41.7022652906,3.94092581002,1.77857788324,20.4612557718,15.521505825600002,-33.2151612494,run_102,output//rmfs//1.rmf3,5.71950369326,B,-1,h2_run_102_8950.rmf3
8960,8960.0,1094.0,44.1786698833,1.89665524942,2.71071102013,18.083454383,21.4878492308,-26.4268769172,run_102,output//rmfs//0.rmf3,4.60736626955,B,-1,h2_run_102_8960.rmf3
8970,8970.0,1104.0,43.9505948989,1.71272006778,1.78753771833,23.7199476982,16.730389414700003,-28.6241070435,run_102,output//rmfs//0.rmf3,3.50025778611,B,-1,h2_run_102_8970.rmf3
8980,8980.0,1114.0,42.0431719894,2.5107671521,3.87809503169,23.5828190563,12.071490749299997,-31.9685278026,run_102,output//rmfs//0.rmf3,6.38886218379,B,-1,h2_run_102_8980.rmf3
8990,8990.0,1124.0,46.621586381,7.9097704217,4.2722350593,20.3284954299,14.1110854701,-33.3608857486,run_102,output//rmfs//0.rmf3,12.182005481000001,B,-1,h2_run_102_8990.rmf3
9000,9000.0,1134.0,30.7891468323,3.81684530489,1.23808275887,15.1472729552,10.586945813299998,-35.9831290972,run_102,output//rmfs//0.rmf3,5.05492806376,B,-1,h2_run_102_9000.rmf3
9010,9010.0,1144.0,28.4865162685,1.16914823393,3.74365483502,12.0734938961,11.500219303500003,-35.6138943936,run_102,output//rmfs//0.rmf3,4.91280306895,B,-1,h2_run_102_9010.rmf3
9020,9020.0,1154.0,42.6074568658,3.69539960611,0.848920416287,22.1766080906,15.8865287528,-27.1487839724,run_102,output//rmfs//0.rmf3,4.544320022397,B,-1,h2_run_102_9020.rmf3
9030,9030.0,1164.0,33.778295704,2.32195837956,1.268267599,18.2267693891,11.9613003364,-32.599145252,run_102,output//rmfs//0.rmf3,3.59022597856,B,-1,h2_run_102_9030.rmf3
9040,9040.0,1174.0,40.7028043763,2.73524710526,2.48483348428,19.1494848723,16.3332389144,-30.4591506134,run_102,output//rmfs//0.rmf3,5.22008058954,B,-1,h2_run_102_9040.rmf3
9050,9050.0,809.0,42.2376491494,1.96050964938,6.31066519355,16.0971506601,17.869323646300003,-32.8405909188,run_102,output//rmfs//3.rmf3,8.27117484293,B,-1,h2_run_102_9050.rmf3
9060,9060.0,7031.0,32.3177408664,0.194918242701,1.46667329553,17.0185040054,13.637645322800005,-31.6470457983,run_102,output//rmfs//1.rmf3,1.6615915382309998,B,-1,h2_run_102_9060.rmf3
9070,9070.0,7041.0,41.1062131627,4.65842982286,1.43303593237,18.755721162,16.2590262455,-27.7635686532,run_102,output//rmfs//1.rmf3,6.09146575523,B,-1,h2_run_102_9070.rmf3
9080,9080.0,7051.0,47.5418664295,3.80287769673,5.41697555666,23.3911680032,14.930845172899996,-30.3127575184,run_102,output//rmfs//1.rmf3,9.21985325339,B,-1,h2_run_102_9080.rmf3
9090,9090.0,825.0,52.9870191653,1.02832440517,2.82811424654,19.2799442952,29.8506362184,-23.8055536523,run_102,output//rmfs//3.rmf3,3.8564386517100004,B,-1,h2_run_102_9090.rmf3
9100,9100.0,835.0,36.0182424803,0.666707191716,0.95288766027,19.9119469605,14.486700667700003,-29.3558825515,run_102,output//rmfs//3.rmf3,1.6195948519860002,B,-1,h2_run_102_9100.rmf3
9110,9110.0,845.0,38.2544257249,1.38696404094,5.61789345936,18.4943393865,12.755228838099999,-26.4652830417,run_102,output//rmfs//3.rmf3,7.0048575003,B,-1,h2_run_102_9110.rmf3
9120,9120.0,855.0,37.6432280364,0.492655520447,3.20391700095,16.3714383934,17.575217121599998,-36.0405012259,run_102,output//rmfs//3.rmf3,3.696572521397,B,-1,h2_run_102_9120.rmf3
9130,9130.0,865.0,32.2083399238,3.15832572313,3.53511743283,13.8817657363,11.6331310315,-29.6987002993,run_102,output//rmfs//3.rmf3,6.69344315596,B,-1,h2_run_102_9130.rmf3
9140,9140.0,875.0,42.3211937227,1.84084515901,2.9247260862,21.0914387256,16.4641837519,-28.3041246463,run_102,output//rmfs//3.rmf3,4.76557124521,B,-1,h2_run_102_9140.rmf3
9150,9150.0,885.0,41.3348420771,6.03498873264,4.94887556902,20.176112635,10.174865140400001,-32.8632748527,run_102,output//rmfs//3.rmf3,10.983864301659999,B,-1,h2_run_102_9150.rmf3
9160,9160.0,895.0,35.7572301563,0.77199187938,2.5790397634,17.3269370712,15.079261442300002,-27.1350958584,run_102,output//rmfs//3.rmf3,3.3510316427799998,B,-1,h2_run_102_9160.rmf3
9170,9170.0,905.0,36.1177463438,0.506376703315,0.0101850514882,20.1341058593,15.467078729799997,-27.9351919242,run_102,output//rmfs//3.rmf3,0.5165617548032,B,-1,h2_run_102_9170.rmf3
9180,9180.0,915.0,39.7459580953,3.9816338637,2.45831415923,12.211629341,21.0943807313,-27.9928115687,run_102,output//rmfs//3.rmf3,6.43994802293,B,-1,h2_run_102_9180.rmf3
9190,9190.0,925.0,51.0029475639,2.94044108785,4.14634973041,27.4350517626,16.481104982999998,-31.4970543462,run_102,output//rmfs//3.rmf3,7.08679081826,B,-1,h2_run_102_9190.rmf3
9200,9200.0,935.0,34.4328727353,0.476030018582,0.163090267849,16.4967602726,17.2969921763,-31.0402299211,run_102,output//rmfs//3.rmf3,0.6391202864309999,B,-1,h2_run_102_9200.rmf3
9210,9210.0,943.0,51.4297764658,1.88615583738,3.60581053453,16.731480714,29.206329379899998,-24.98994225,run_102,output//rmfs//3.rmf3,5.49196637191,B,-1,h2_run_102_9210.rmf3
9220,9220.0,7065.0,40.3407808163,4.17016088494,4.15480515969,15.9634163306,16.052398441099996,-33.6810366556,run_102,output//rmfs//1.rmf3,8.32496604463,B,-1,h2_run_102_9220.rmf3
9230,9230.0,1186.0,60.0714883638,5.79432219231,5.97410077317,24.846812582,23.456252816399996,-27.0520590797,run_102,output//rmfs//0.rmf3,11.76842296548,B,-1,h2_run_102_9230.rmf3
9240,9240.0,1196.0,47.4990356149,7.17694101214,6.21847905263,20.6501547454,13.4534608047,-25.6626106271,run_102,output//rmfs//0.rmf3,13.39542006477,B,-1,h2_run_102_9240.rmf3
9250,9250.0,1206.0,51.7220076789,1.15816930447,10.2139504762,17.1447179131,23.2051699852,-24.0707063085,run_102,output//rmfs//0.rmf3,11.372119780670001,B,-1,h2_run_102_9250.rmf3
9260,9260.0,1216.0,31.0820597003,0.39115318701,3.2245274553,11.4108600085,16.0555190495,-27.8647002461,run_102,output//rmfs//0.rmf3,3.61568064231,B,-1,h2_run_102_9260.rmf3
9270,9270.0,1226.0,28.8386320764,0.292037581329,2.50929796614,13.1939020796,12.843394449299996,-26.6842699594,run_102,output//rmfs//0.rmf3,2.8013355474690003,B,-1,h2_run_102_9270.rmf3
9280,9280.0,947.0,45.40122978,0.421303955777,1.68746862848,23.967019739,19.3254374567,-26.1509696782,run_102,output//rmfs//3.rmf3,2.108772584257,B,-1,h2_run_102_9280.rmf3
9290,9290.0,957.0,37.327073223,2.47751069931,2.59174564566,17.6634379051,14.594378972999998,-35.0031792335,run_102,output//rmfs//3.rmf3,5.06925634497,B,-1,h2_run_102_9290.rmf3
9300,9300.0,967.0,52.5276127999,2.98172932484,1.64319398246,33.2838785282,14.618810964299996,-28.9255880416,run_102,output//rmfs//3.rmf3,4.6249233073,B,-1,h2_run_102_9300.rmf3
9310,9310.0,1242.0,45.1487988889,2.11096355587,8.69914442903,18.3697021376,15.968988766500004,-33.0224452333,run_102,output//rmfs//0.rmf3,10.8101079849,B,-1,h2_run_102_9310.rmf3
9320,9320.0,977.0,38.0861853077,0.810136196937,1.97582627069,15.6177303851,19.682492455,-23.9550164496,run_102,output//rmfs//3.rmf3,2.785962467627,B,-1,h2_run_102_9320.rmf3
9330,9330.0,1248.0,43.0871917915,1.12938178443,1.40408481568,22.915372513,17.6383526784,-28.1038661664,run_102,output//rmfs//0.rmf3,2.53346660011,B,-1,h2_run_102_9330.rmf3
9340,9340.0,1258.0,37.0721900898,2.84249307018,1.83820123198,20.2290783968,12.162417390800002,-35.7401933405,run_102,output//rmfs//0.rmf3,4.68069430216,B,-1,h2_run_102_9340.rmf3
9350,9350.0,1268.0,47.2802635954,1.53019946743,4.46060709958,21.5559217967,19.733535231599998,-24.0893408124,run_102,output//rmfs//0.rmf3,5.99080656701,B,-1,h2_run_102_9350.rmf3
9360,9360.0,1278.0,33.4311170793,1.49862621823,4.68122146098,15.5582981683,11.692971231800001,-29.1783109904,run_102,output//rmfs//0.rmf3,6.17984767921,B,-1,h2_run_102_9360.rmf3
9370,9370.0,1288.0,40.2513133784,3.73573496701,3.71889064176,20.7208226375,12.075865132100006,-35.4234436592,run_102,output//rmfs//0.rmf3,7.45462560877,B,-1,h2_run_102_9370.rmf3
9380,9380.0,1298.0,44.1592260573,1.09218755418,3.1855338833,27.6094680354,12.272036584400002,-27.550208054,run_102,output//rmfs//0.rmf3,4.27772143748,B,-1,h2_run_102_9380.rmf3
9390,9390.0,1308.0,39.1618448003,4.05709737139,4.81024348823,14.3351825898,15.959321350799996,-32.7168182838,run_102,output//rmfs//0.rmf3,8.86734085962,B,-1,h2_run_102_9390.rmf3
9400,9400.0,1318.0,40.1139664534,1.25609083773,6.79247560596,18.8214228363,13.2439771735,-35.1541655892,run_102,output//rmfs//0.rmf3,8.04856644369,B,-1,h2_run_102_9400.rmf3
9410,9410.0,1328.0,43.6107159864,2.18775933528,7.18937431072,16.3633649958,17.8702173445,-28.6986692356,run_102,output//rmfs//0.rmf3,9.377133646,B,-1,h2_run_102_9410.rmf3
9420,9420.0,1338.0,35.1092933889,0.609854012451,1.53557494237,21.85335919,11.1105052441,-29.6640545135,run_102,output//rmfs//0.rmf3,2.145428954821,B,-1,h2_run_102_9420.rmf3
9430,9430.0,1348.0,48.73983712,0.342678075953,1.33446317074,28.6048666836,18.4578291897,-35.2105742002,run_102,output//rmfs//0.rmf3,1.677141246693,B,-1,h2_run_102_9430.rmf3
9440,9440.0,1358.0,52.1872174418,2.1221269132,10.2599969088,25.6766606405,14.128432979300001,-26.2673667002,run_102,output//rmfs//0.rmf3,12.382123822,B,-1,h2_run_102_9440.rmf3
9450,9450.0,7077.0,33.9175978995,0.691383006531,3.44036419294,21.2130986508,8.572752049199998,-35.13967033,run_102,output//rmfs//1.rmf3,4.131747199471,B,-1,h2_run_102_9450.rmf3
9460,9460.0,7087.0,40.7578172815,0.206898799836,3.4710755392,24.4628986296,12.6169443129,-30.1545318874,run_102,output//rmfs//1.rmf3,3.677974339036,B,-1,h2_run_102_9460.rmf3
9470,9470.0,7097.0,42.1130308607,1.38522132236,3.17104827259,25.3673721002,12.189389165600005,-30.5581555673,run_102,output//rmfs//1.rmf3,4.556269594950001,B,-1,h2_run_102_9470.rmf3
9480,9480.0,7107.0,47.0617715771,0.418871620409,3.6230104408,25.9938454804,17.0260440355,-29.8614186397,run_102,output//rmfs//1.rmf3,4.041882061209,B,-1,h2_run_102_9480.rmf3
9490,9490.0,7117.0,37.8217358113,5.01943191181,1.46271254699,16.1179606113,15.221630741200002,-29.5969567474,run_102,output//rmfs//1.rmf3,6.4821444588,B,-1,h2_run_102_9490.rmf3
